,Name,College,Quality Score,Difficulty Score,GPA,Would Take Again,Number of Ratings,Number of Sections,Total Students
1257,Rochelle Germond,College of Humanities and Social Sciences,5.0,1.0,3.9306779661016953,-1.0,2,3,59
1258,William Bauer,College of Humanities and Social Sciences,4.1,3.0,3.1563137755102044,84.6154,48,126,6272
1259,Chirodip Naha,College of Humanities and Social Sciences,3.5,1.6,3.7959375,60.0,10,3,64
1260,Rafeeat Aliyu,College of Humanities and Social Sciences,5.0,2.0,3.893333333333334,100.0,1,3,66
1261,Shervon Cassim,College of Humanities and Social Sciences,5.0,3.0,3.7072606382978726,100.0,1,19,376
1262,Mishael Lazzara,College of Humanities and Social Sciences,4.7,1.8,3.93,100.0,6,2,42
1263,Arshia Simkin,College of Humanities and Social Sciences,2.0,3.0,2.8833333333333333,0.0,1,3,60
1264,Zachary Lunn,College of Humanities and Social Sciences,4.0,2.0,3.4215789473684213,100.0,1,3,57
1265,Alyssa Wong,College of Humanities and Social Sciences,5.0,1.5,3.877931034482759,100.0,2,3,58
1266,Andrew Wade,College of Humanities and Social Sciences,5.0,1.0,3.8782758620689655,-1.0,1,3,58
1267,Cadwell Turnbull,College of Humanities and Social Sciences,5.0,2.5,3.8908762886597934,100.0,2,10,194
1268,Eric Gregory,College of Humanities and Social Sciences,4.8,2.0,3.712678571428572,-1.0,2,3,56
1269,David Flatley,College of Humanities and Social Sciences,5.0,2.0,3.22,-1.0,1,1,18
1270,Trenton Pollard,College of Humanities and Social Sciences,5.0,2.0,3.9760000000000004,-1.0,1,3,45
1271,Shandra Lalley,College of Humanities and Social Sciences,5.0,3.0,3.6666666666666665,-1.0,1,3,60
1272,Kari Smith,College of Humanities and Social Sciences,5.0,2.0,3.611444444444445,-1.0,2,4,90
1273,Celeste Doaks,College of Humanities and Social Sciences,5.0,1.0,3.695942028985507,100.0,3,4,69
1274,Jennifer Hessler,College of Humanities and Social Sciences,3.8,3.3,3.436086956521739,66.6667,6,2,46
1275,Leila May,College of Humanities and Social Sciences,4.5,3.0,3.0880589680589683,100.0,2,16,407
1276,Juliana Nfah-Abbenyi,College of Humanities and Social Sciences,3.7,3.3,2.8773404255319144,-1.0,3,9,188
1277,Michelle McMullin,College of Humanities and Social Sciences,3.5,3.0,3.284772727272727,50.0,2,5,88
1278,Jason Swarts,College of Humanities and Social Sciences,4.2,3.3,3.1983486238532115,-1.0,3,11,218
1279,Maya Kapoor,College of Humanities and Social Sciences,4.0,2.5,3.5992307692307697,100.0,2,3,65
1280,Caroline Myrick,College of Humanities and Social Sciences,5.0,3.0,3.321411290322581,66.6667,5,9,248
1281,Cole Russing,College of Humanities and Social Sciences,5.0,3.0,3.631632653061224,-1.0,2,10,147
1282,Sara Alexander,College of Humanities and Social Sciences,1.3,4.3,3.555642201834862,0.0,4,10,218
1283,Christine Cranford,College of Humanities and Social Sciences,5.0,2.0,3.7828501892915107,100.0,2,164,3698
1284,Jamie Larsen,College of Humanities and Social Sciences,2.6,4.0,3.2983850335785094,40.0,5,148,3127
1285,Caitlin Stuckey,College of Humanities and Social Sciences,5.0,3.0,3.2283582089552243,100.0,2,72,1608
1286,Lindsey Scheper,College of Humanities and Social Sciences,1.5,4.0,3.6494859813084113,0.0,2,10,214
1287,Amy Kaufman,College of Humanities and Social Sciences,4.0,3.3,3.641971608832808,83.3333,6,28,634
1288,Melanie Graham,College of Humanities and Social Sciences,4.8,1.6,3.6824210037174723,100.0,12,95,2152
1289,Nupoor Jalindre,College of Humanities and Social Sciences,5.0,1.0,3.6282285714285716,100.0,1,8,175
1290,David Covington,College of Humanities and Social Sciences,5.0,2.0,3.3572,-1.0,1,18,400
1291,Jamie Reed,College of Humanities and Social Sciences,3.1,3.2,3.5982098121085606,100.0,6,88,1916
1292,Huiing Ding,College of Humanities and Social Sciences,3.3,3.5,3.36343137254902,100.0,2,5,102
1293,Stacey Pigg,College of Humanities and Social Sciences,2.0,3.0,3.538048780487805,0.0,1,2,41
1294,Sarah Warren,College of Humanities and Social Sciences,3.5,3.3,3.2124783634933123,0.0,4,55,1271
1295,Sarah Glova,College of Humanities and Social Sciences,5.0,3.0,3.5113971742543173,-1.0,1,30,637
1296,Ashley Kelly,College of Humanities and Social Sciences,4.5,3.0,3.2783397683397686,-1.0,1,12,259
1297,Jason Kalin,College of Humanities and Social Sciences,1.5,4.0,3.24170616113744,-1.0,2,11,211
1298,Fiona Wang,College of Humanities and Social Sciences,4.0,2.0,3.669647577092511,75.0,4,10,227
1299,Peter Hager,College of Humanities and Social Sciences,1.0,5.0,2.5120772946859904,0.0,3,28,621
1300,Ashley King,College of Humanities and Social Sciences,4.0,3.0,3.2366919191919195,66.6667,3,18,396
1301,Cynara Inman,College of Humanities and Social Sciences,5.0,3.0,3.686119402985075,100.0,1,3,67
1302,Kimberly Poetzinger,College of Humanities and Social Sciences,5.0,2.0,3.643432835820896,100.0,1,3,67
1303,Janet Hudson,College of Humanities and Social Sciences,2.0,3.3,3.3752370203160273,-1.0,3,23,443
1304,Daun Daemon,College of Humanities and Social Sciences,2.8,3.4,2.9560113757554207,22.2222,18,150,2813
1305,Deijah Scales,College of Humanities and Social Sciences,5.0,2.5,3.2,100.0,2,3,69
1306,Susan Katz,College of Humanities and Social Sciences,5.0,1.0,2.946338028169014,-1.0,1,14,284
1307,Anu Thapa,College of Humanities and Social Sciences,2.8,4.0,2.9889610389610386,40.0,5,3,77
1308,Zelda Lockhart,College of Humanities and Social Sciences,1.0,5.0,3.08,-1.0,1,1,13
1309,Gary Mathews,College of Humanities and Social Sciences,4.3,3.3,3.3150295857988166,75.0,9,27,1014
1310,Jorge Mari,College of Humanities and Social Sciences,3.1,2.6,3.495195369030391,42.8571,11,39,691
1311,Nathaniel Isaacson,College of Humanities and Social Sciences,5.0,3.2,3.4605939004815407,100.0,5,79,1246
1312,Joseph Palis,College of Humanities and Social Sciences,4.8,1.8,3.632386185243328,-1.0,6,23,637
1313,Dudley Marchi,College of Humanities and Social Sciences,4.5,2.4,3.2491866028708136,100.0,17,56,1254
1314,Diane Beckman,College of Humanities and Social Sciences,4.4,2.6,3.1776698014629043,-1.0,25,54,957
1315,Nilakshi Phukan,College of Humanities and Social Sciences,3.5,2.0,3.593549295774648,63.6364,11,24,355
1316,Larysa Mykyta,College of Humanities and Social Sciences,2.1,3.4,2.9791269035533,25.0,14,51,985
1317,John Mertz,College of Humanities and Social Sciences,3.8,2.6,3.117027027027027,100.0,10,73,1517
1318,Lutz Kube,College of Humanities and Social Sciences,4.3,2.4,2.9715491507977356,100.0,19,106,1943
1319,Alexei Lalo,College of Humanities and Social Sciences,4.3,2.2,3.2728321678321675,100.0,10,15,286
1320,Inas Messiha,College of Humanities and Social Sciences,3.6,3.5,3.3913337149398965,83.3333,13,90,1747
1321,Bethany Farag,College of Humanities and Social Sciences,4.7,2.1,3.4740352697095433,100.0,11,55,964
1322,Jodi Khater,College of Humanities and Social Sciences,4.8,1.9,3.4962942008486566,100.0,14,82,1414
1323,Vladimir Bilenkin,College of Humanities and Social Sciences,3.6,3.4,3.0887755102040813,53.8462,21,82,1225
1324,Hannah Young,College of Humanities and Social Sciences,4.2,2.5,3.340862396956246,66.6667,6,103,1577
1325,Samuel Sotillo,College of Humanities and Social Sciences,4.3,2.2,3.5970265686828715,94.7368,25,94,1769
1326,Michael Garval,College of Humanities and Social Sciences,4.1,3.0,3.154216524216524,75.0,10,20,351
1327,Laura Call,College of Humanities and Social Sciences,4.5,2.8,3.2624025289778724,93.75,16,44,949
1328,Lauren Brooks,College of Humanities and Social Sciences,4.7,2.7,3.004514563106796,100.0,11,28,412
1329,Amanda Kennell,College of Humanities and Social Sciences,1.4,3.8,2.5022741433021807,8.6957,23,12,321
1330,Elizabeth Saylor,College of Humanities and Social Sciences,4.5,3.0,3.726296296296296,100.0,4,10,135
1331,Kay Villa-Garcia,College of Humanities and Social Sciences,4.0,1.5,3.5937667785234897,75.0,25,117,2384
1332,James McConnell,College of Humanities and Social Sciences,3.4,3.1,2.787265739983647,47.2222,58,163,6115
1333,Mary Estrada,College of Humanities and Social Sciences,5.0,2.5,3.589119373776908,100.0,4,33,511
1334,Robin Kube,College of Humanities and Social Sciences,5.0,2.0,3.6221377672209027,100.0,2,29,421
1335,Mark Darhower,College of Humanities and Social Sciences,3.7,3.7,3.16378962536023,57.1429,17,41,694
1336,Allison Turner,College of Humanities and Social Sciences,3.0,3.8,3.1383002832861195,25.0,8,44,706
1337,Tara Di Cassio,College of Humanities and Social Sciences,4.9,2.4,3.5020507812499995,100.0,12,33,512
1338,Irwin Stern,College of Humanities and Social Sciences,3.4,2.9,2.8133636033418075,58.8235,29,125,2753
1339,Audrey Emerson,College of Humanities and Social Sciences,4.3,3.3,3.5015280289330932,100.0,3,80,1106
1340,Runlei Zhai,College of Humanities and Social Sciences,4.4,2.0,3.5161403508771927,80.0,5,37,570
1341,Ying-Ju Chen,College of Humanities and Social Sciences,5.0,4.0,3.6214285714285714,100.0,1,2,21
1342,Louise Dolan,College of Humanities and Social Sciences,3.4,3.2,2.585617253346554,100.0,24,105,2017
1343,Jennifer Despain,College of Humanities and Social Sciences,2.8,4.1,2.1634944751381213,26.3158,26,90,2172
1344,Diane Henneton,College of Humanities and Social Sciences,5.0,1.8,3.5432530120481927,100.0,4,4,83
1345,Katherine Morel,College of Humanities and Social Sciences,4.7,2.3,3.481443460135487,97.3684,46,103,1919
1346,Nicole Larkin,College of Humanities and Social Sciences,5.0,2.0,3.538035714285715,100.0,1,4,56
1347,Chuck Johnson,College of Humanities and Social Sciences,4.6,1.9,3.257172011661808,-1.0,9,45,1029
1348,Andrea Tucker,College of Humanities and Social Sciences,5.0,1.0,3.176101694915254,-1.0,1,8,177
1349,Jiana Brown,College of Humanities and Social Sciences,5.0,2.0,3.693225806451613,100.0,1,4,62
1350,Maggie Cotter,College of Humanities and Social Sciences,5.0,2.6,3.3340350877192986,100.0,18,4,57
1351,Tatiana Kozhanova,College of Humanities and Social Sciences,5.0,2.2,3.3711470588235297,100.0,19,21,340
1352,Turi Hoversten,College of Humanities and Social Sciences,4.9,2.7,3.179868667917449,100.0,13,30,533
1353,Charlotte Bulkeley,College of Humanities and Social Sciences,4.8,2.8,3.3015151515151517,100.0,5,2,33
1354,Irina Randriamiadana,College of Humanities and Social Sciences,4.8,2.3,3.5624000000000002,100.0,9,4,75
1355,Elizabeth Fowler,College of Humanities and Social Sciences,4.7,2.7,3.2505555555555556,100.0,3,2,36
1356,Marie Woodbridge,College of Humanities and Social Sciences,4.7,1.8,3.396050255202199,100.0,51,130,2547
1357,Michele Magill,College of Humanities and Social Sciences,4.0,3.0,3.2687291666666667,100.0,2,27,480
1358,Johanna Montlouis-Gabriel,College of Humanities and Social Sciences,4.7,3.3,3.3446124031007756,100.0,3,16,258
1359,Martine Belle,College of Humanities and Social Sciences,3.8,3.1,3.171923076923077,-1.0,12,23,390
1360,Julie Monjanel Townsend,College of Humanities and Social Sciences,3.5,3.3,2.8660294117647056,72.2222,18,4,68
1361,Philippe Mvula,College of Humanities and Social Sciences,3.0,3.0,3.2219117647058826,33.3333,3,4,68
1362,Elise Bouley,College of Humanities and Social Sciences,4.8,3.2,3.1112962962962962,100.0,8,5,108
1363,Megan Demeny,College of Humanities and Social Sciences,4.5,3.0,3.3975000000000004,100.0,2,3,60
1364,Michele Darrah,College of Humanities and Social Sciences,3.2,3.3,2.9448966942148767,-1.0,7,52,968
1365,Yvonne Rollins,College of Humanities and Social Sciences,3.8,3.5,3.198969072164948,100.0,6,27,388
1366,Aubrey Kubiak,College of Humanities and Social Sciences,4.7,1.7,3.186352941176471,-1.0,3,6,85
1367,Ileana Chirila,College of Humanities and Social Sciences,4.8,3.0,3.455853658536585,-1.0,2,7,123
1368,Lynda Nyota,College of Humanities and Social Sciences,4.2,2.1,3.2510861423220976,85.7143,9,35,534
1369,Marc Reibold,College of Humanities and Social Sciences,4.7,1.9,2.9499682875264273,100.0,7,50,946
1370,Oliver Ham,College of Humanities and Social Sciences,4.9,2.5,3.1100817995910024,100.0,16,48,978
1371,Sabine Bridges,College of Humanities and Social Sciences,4.2,2.8,2.6181467181467184,-1.0,5,14,259
1372,Helga Braunbeck,College of Humanities and Social Sciences,4.3,3.4,3.1731884057971014,66.6667,8,15,207
1373,Anna Rita Bonaduce-Dressler,College of Humanities and Social Sciences,2.7,4.2,2.977833421191355,28.0,41,113,1897
1374,Sandra Pesoli,College of Humanities and Social Sciences,5.0,2.8,2.883974358974359,100.0,5,5,78
1375,Wakako Sera,College of Humanities and Social Sciences,4.4,3.2,3.0409067524115754,100.0,10,86,1555
1376,Momoko Ishikawa,College of Humanities and Social Sciences,5.0,2.4,3.2320111731843575,100.0,5,21,358
1377,Reiko Nitta,College of Humanities and Social Sciences,3.7,4.3,2.6954934210526313,66.6667,3,49,912
1378,Keiko Ueda,College of Humanities and Social Sciences,4.6,2.8,3.005308641975308,100.0,33,118,2106
1379,Roshanak Madihian,College of Humanities and Social Sciences,4.7,2.2,2.9172680412371133,-1.0,5,10,194
1380,Karen Coachman,College of Humanities and Social Sciences,3.9,3.4,2.845452207458208,72.4138,35,120,2333
1381,Scott Despain,College of Humanities and Social Sciences,2.5,3.8,2.559964643488509,23.3766,118,56,5091
1382,Debbera Carson,College of Humanities and Social Sciences,3.1,2.9,3.38450411603293,73.5294,59,147,2551
1383,Deborah Kane,College of Humanities and Social Sciences,4.0,3.3,3.025531680440771,67.8571,37,99,1815
1384,Caroline  Sferruzzo,College of Humanities and Social Sciences,4.9,2.6,3.2404459691252145,100.0,7,31,583
1385,Celia Crowther,College of Humanities and Social Sciences,3.1,3.8,3.0371641791044777,-1.0,4,31,536
1386,Soraya Place,College of Humanities and Social Sciences,3.8,3.3,2.9131841652323573,-1.0,9,28,581
1387,Paul Wiedmer,College of Humanities and Social Sciences,4.8,1.6,3.340994152046784,-1.0,14,34,855
1388,Ana Gray,College of Humanities and Social Sciences,1.9,3.3,3.0338924205378968,21.875,49,131,2045
1389,Colton Coggins,College of Humanities and Social Sciences,4.6,2.6,3.224626865671642,100.0,5,4,67
1390,Emily Elwood,College of Engineering,1.0,1.0,2.777222222222222,-1.0,1,4,54
1391,Maggie Payne,College of Humanities and Social Sciences,4.7,2.7,2.7260550458715596,100.0,3,7,109
1392,Itsasne Rey,College of Humanities and Social Sciences,4.0,3.0,2.1149999999999998,100.0,1,2,26
1393,Emily Sands,College of Humanities and Social Sciences,2.6,3.3,2.4200624024960997,33.3333,12,35,641
1394,Amanda Smith,College of Sciences,2.3,3.5,3.253016194331984,-1.0,2,27,494
1395,Brandon Inman,College of Humanities and Social Sciences,4.0,2.5,2.9316666666666666,100.0,2,4,72
1396,Stephanie Oliver,College of Humanities and Social Sciences,5.0,3.0,3.2044927536231884,100.0,1,4,69
1397,Ainhoa Urkitza-Villegas,College of Humanities and Social Sciences,5.0,2.0,3.1694444444444447,100.0,2,2,36
1398,Lindsey Chandler,College of Humanities and Social Sciences,4.0,3.5,3.014029850746269,100.0,2,4,67
1399,Coral Pedrogo,College of Humanities and Social Sciences,4.5,3.0,3.2112903225806457,100.0,2,4,62
1400,Ashley Pahis,College of Humanities and Social Sciences,3.2,4.2,3.0854166666666667,60.0,5,3,48
1401,Sheila Casalett,College of Humanities and Social Sciences,5.0,2.3,3.146911764705882,100.0,3,6,136
1402,Casey Helms,College of Humanities and Social Sciences,5.0,2.0,2.9208823529411765,100.0,2,4,102
1403,Kelsey Lawler-Childress,College of Humanities and Social Sciences,5.0,1.0,3.023636363636364,-1.0,1,2,44
1404,Elliott Gaffer,College of Humanities and Social Sciences,2.9,3.6,2.4874475524475526,-1.0,26,44,858
1405,Ashley Hobson,College of Humanities and Social Sciences,5.0,2.0,3.077777777777778,-1.0,1,4,90
1406,Harriet Kestenbaum,College of Humanities and Social Sciences,3.7,2.3,2.8965909090909094,-1.0,19,59,1188
1407,Rebecca Hahn,College of Humanities and Social Sciences,4.8,2.0,2.818571428571428,-1.0,2,4,98
1408,Sarah Shallcross,College of Humanities and Social Sciences,4.0,3.0,2.7387499999999996,-1.0,3,4,96
1409,Katie Sinclair,College of Humanities and Social Sciences,5.0,3.0,2.712340425531915,-1.0,1,4,94
1410,Karen Hillman,College of Humanities and Social Sciences,4.3,2.5,3.0606533036377135,46.6,30,67,1347
1411,Susan Navey-Davis,College of Humanities and Social Sciences,4.4,2.6,3.246104513064133,84.6154,29,72,1263
1412,Leonardo Villa-Garcia,College of Humanities and Social Sciences,2.9,2.9,3.1653512132822494,35.2941,27,135,2349
1413,Cheryl Block,College of Humanities and Social Sciences,3.5,2.0,3.2567916999201914,67.0,35,141,2506
1414,Morgan Ericson,College of Humanities and Social Sciences,4.8,3.0,2.78,100.0,4,1,18
1415,Inma Navarro,College of Humanities and Social Sciences,3.5,3.6,3.344287317620651,65.2174,23,48,891
1416,Diana Arbaiza,College of Humanities and Social Sciences,4.7,2.7,3.1615767634854772,-1.0,3,15,241
1417,Eileen Anderson,College of Humanities and Social Sciences,2.5,2.0,3.4672361809045227,-1.0,2,9,199
1418,Shelley Garrigan,College of Humanities and Social Sciences,4.6,3.1,3.4307080745341625,84.6154,15,42,805
1419,Hector Jaimes,College of Humanities and Social Sciences,3.9,3.3,3.563380281690141,100.0,8,44,781
1420,Rebecca Ronquest,College of Humanities and Social Sciences,5.0,2.7,3.413196581196582,100.0,12,27,585
1421,Greg Dawes,College of Humanities and Social Sciences,4.0,2.7,3.212262569832403,100.0,3,23,358
1422,Elvira Vilches,College of Humanities and Social Sciences,2.2,3.8,3.3520547945205474,0.0,8,13,219
1423,Micah Myers,College of Humanities and Social Sciences,4.3,2.0,3.2315114235500877,-1.0,4,19,569
1424,William Dunstan,College of Humanities and Social Sciences,4.7,1.4,3.2483333333333335,-1.0,7,14,534
1425,Tate Paulette,College of Humanities and Social Sciences,2.8,2.0,3.419844827586206,46.1538,13,23,1160
1426,Bret Devereaux,College of Humanities and Social Sciences,3.8,3.5,2.8452710280373834,80.0,10,8,535
1427,Peter Raleigh,College of Humanities and Social Sciences,5.0,1.0,3.45,100.0,1,1,69
1428,Gabriel Moss,College of Humanities and Social Sciences,4.9,2.4,3.4269405099150143,100.0,7,5,353
1429,Nicholas Blackwell,College of Humanities and Social Sciences,4.0,3.0,2.7300574712643675,100.0,1,7,348
1430,Helen Dixon,College of Humanities and Social Sciences,4.9,1.8,3.39974930362117,-1.0,8,8,359
1431,Ronald Sack,College of Humanities and Social Sciences,4.4,4.0,2.6915198237885463,-1.0,6,14,454
1432,Robert Darby,College of Humanities and Social Sciences,4.0,2.0,2.6086666666666667,-1.0,1,2,90
1433,Phillip Vanvleck,College of Humanities and Social Sciences,4.1,3.3,2.845076726342711,88.8889,25,74,2346
1434,Julie Mell,College of Humanities and Social Sciences,3.2,3.6,2.8650405996252344,44.4444,19,38,1601
1435,Carolyn Pumphrey,College of Humanities and Social Sciences,4.0,2.9,2.959744,68.4211,29,57,1875
1436,Helen Perros,College of Humanities and Social Sciences,2.3,3.6,2.9482244655581957,0.0,8,50,1684
1437,Verena Kasper-Marienberg,College of Humanities and Social Sciences,3.7,3.0,3.1280831826401445,66.6667,9,20,553
1438,Keith Luria,College of Humanities and Social Sciences,3.2,3.1,3.0645046329294363,37.5,24,37,1403
1439,Julia Rudolph,College of Humanities and Social Sciences,4.6,2.9,2.7234518828451884,90.0,18,22,956
1440,Charles Ludington,College of Humanities and Social Sciences,4.0,3.6,2.893215211754538,80.0,28,37,1157
1441,Noah Strote,College of Humanities and Social Sciences,4.0,2.8,3.0450298507462685,71.4286,12,29,1340
1442,Gevorg Vardanyan,College of Humanities and Social Sciences,4.3,2.7,3.8230316742081447,66.6667,3,8,221
1443,Holly Smith,College of Humanities and Social Sciences,4.0,2.0,3.7800000000000002,100.0,1,4,77
1444,Thomas Ort,College of Humanities and Social Sciences,3.7,2.4,2.7986921529175053,-1.0,10,7,497
1445,Alicia McGill,College of Humanities and Social Sciences,3.5,3.4,3.110972037283622,57.1429,18,19,751
1446,Nicholas Robins,College of Humanities and Social Sciences,3.9,3.9,2.644419519874065,58.0645,47,90,2541
1447,Frederico Freitas,College of Humanities and Social Sciences,3.8,3.1,2.7705365126676598,75.0,16,12,671
1448,Richard Slatta,College of Humanities and Social Sciences,3.1,3.7,2.8029712858926352,0.0,20,50,1602
1449,Lily Balloffet,College of Humanities and Social Sciences,3.5,4.0,3.28,-1.0,1,1,18
1450,Ebony Jones,College of Humanities and Social Sciences,4.1,2.9,3.192308781869689,72.2222,18,19,706
1451,Brent Sirota,College of Humanities and Social Sciences,4.8,2.6,3.1740673339399454,100.0,17,23,1099
1452,Amanda Finn,College of Humanities and Social Sciences,4.0,2.5,2.8221287128712875,100.0,2,10,202
1453,Sandria Freitag,College of Humanities and Social Sciences,2.1,3.4,2.8172842105263167,11.1111,33,40,950
1454,David Gilmartin,College of Humanities and Social Sciences,4.3,2.6,2.906657303370786,81.4815,41,49,2136
1455,Haydon Cherry,College of Humanities and Social Sciences,4.1,2.5,2.895903614457831,-1.0,6,10,332
1456,Akram Khater,College of Humanities and Social Sciences,3.7,4.3,2.3858934828311145,100.0,37,41,1427
1457,Kimberly Vincent,College of Humanities and Social Sciences,3.5,3.3,2.7966220735785954,50.0,48,70,2392
1458,Shima Hosseininasab,College of Humanities and Social Sciences,5.0,2.0,3.3453472222222227,100.0,1,5,144
1459,David Ambaras,College of Humanities and Social Sciences,3.0,4.2,2.57356793375988,42.1053,37,71,2657
1460,Mandy Paige-Lovingood,College of Humanities and Social Sciences,3.5,3.5,3.42888198757764,0.0,2,7,161
1461,Jason Boan,College of Humanities and Social Sciences,5.0,3.5,3.76,100.0,2,2,38
1462,Gerald Surh,College of Humanities and Social Sciences,2.4,3.6,2.7311918604651164,-1.0,9,27,688
1463,Mandana Limbert,College of Humanities and Social Sciences,1.8,3.8,2.6097307692307696,-1.0,6,4,260
1464,Stephanie Spencer,College of Humanities and Social Sciences,2.5,4.4,2.7556164383561645,50.0,19,3,73
1465,James Crisp,College of Humanities and Social Sciences,3.5,3.0,2.9239799331103677,100.0,2,28,598
1466,Sylvia Bailey,College of Humanities and Social Sciences,3.6,3.0,2.871206896551724,80.0,5,13,290
1467,Craig Friend,College of Humanities and Social Sciences,4.3,2.8,2.8776566125290026,86.3636,38,37,2155
1468,Megan Cherry,College of Humanities and Social Sciences,4.0,2.6,3.175477636664826,84.6154,31,34,1811
1469,Judy Kertesz,College of Humanities and Social Sciences,3.5,3.6,2.843049472830494,37.5,25,27,1233
1470,Monte Hampton,College of Humanities and Social Sciences,4.5,3.0,2.548644501278772,100.0,2,19,782
1471,Susanna Lee,College of Humanities and Social Sciences,3.6,3.8,2.7557064793130364,46.1538,28,33,1281
1472,Nancy Gustke,College of Humanities and Social Sciences,4.6,2.7,3.6801983002832865,-1.0,9,15,353
1473,Karen Johnson,College of Humanities and Social Sciences,4.5,1.0,2.670039138943248,-1.0,1,17,511
1474,Marty Matthews,College of Humanities and Social Sciences,4.8,2.5,2.6995890410958903,100.0,4,7,292
1475,Troy Kickler,College of Humanities and Social Sciences,4.3,3.0,2.759464285714285,100.0,2,4,112
1476,James Baker,College of Humanities and Social Sciences,3.0,3.0,3.315953488372093,-1.0,2,16,430
1477,Caroline Pruden,College of Humanities and Social Sciences,4.6,2.3,2.88610696517413,-1.0,7,15,804
1478,Nancy Mitchell,College of Humanities and Social Sciences,3.6,3.5,2.71111060743427,55.5556,28,38,2206
1479,Matthew Booker,College of Humanities and Social Sciences,4.3,3.8,2.944925642181162,50.0,29,41,2219
1480,Joe Caddell,College of Humanities and Social Sciences,4.1,2.4,3.1365442993293335,87.5,20,65,2833
1481,David Zonderman,College of Humanities and Social Sciences,4.3,3.2,2.9808969804618117,-1.0,11,23,1126
1482,Louisa Kilgroe,College of Humanities and Social Sciences,4.5,2.3,2.77385,-1.0,3,8,400
1483,Alexander Goodrich,College of Humanities and Social Sciences,3.8,2.8,2.980615883306321,75.0,4,18,617
1484,Tyler Greene,College of Humanities and Social Sciences,4.5,2.5,3.2248598130841124,87.5,8,15,642
1485,Kimberly Goodling,College of Humanities and Social Sciences,1.5,3.0,2.9813432835820897,0.0,2,2,134
1486,Nicole Welk-Joerger,College of Humanities and Social Sciences,5.0,2.3,3.5025988700564974,100.0,3,3,177
1487,Kathryn Schinabeck,College of Humanities and Social Sciences,5.0,2.0,3.527072072072072,100.0,2,11,222
1488,Steven Lechner,College of Humanities and Social Sciences,4.3,3.7,3.1142502585315404,75.0,16,31,967
1489,Michael Verville,College of Humanities and Social Sciences,5.0,2.0,3.533246753246753,100.0,1,4,77
1490,Talia Brenner,College of Humanities and Social Sciences,2.7,3.6,3.45978102189781,42.8571,7,8,137
1491,Petros Apostolopoulos,College of Humanities and Social Sciences,3.8,3.0,3.1226027397260276,50.0,4,12,219
1492,JoCora Moore,College of Humanities and Social Sciences,5.0,1.5,3.6485263157894736,100.0,4,7,190
1493,Marilyn Drath,College of Humanities and Social Sciences,5.0,3.0,3.322741935483871,100.0,1,12,248
1494,Sarah Soleim,College of Humanities and Social Sciences,3.4,4.0,3.026297709923664,60.0,5,9,262
1495,Kawan Allen,College of Humanities and Social Sciences,2.2,3.5,2.7638961038961036,0.0,4,4,77
1496,Xiaolin Duan,College of Humanities and Social Sciences,3.5,2.8,2.9790234374999995,75.0,4,14,512
1497,Daniel Burton-Rose,College of Humanities and Social Sciences,4.0,2.4,3.4671472392638036,80.0,5,6,326
1498,Kristen Alff,College of Humanities and Social Sciences,4.3,2.5,3.7976341463414633,83.3333,6,12,410
1499,Noa Shaindlinger,College of Humanities and Social Sciences,1.7,4.4,2.4929010238907843,20.0,10,6,293
1500,Golbarg Rekabtalaei,College of Humanities and Social Sciences,5.0,3.0,2.7091384615384615,100.0,1,6,325
1501,Anne Clement,College of Humanities and Social Sciences,3.8,4.0,3.4259090909090912,-1.0,2,6,132
1502,Liz Timbs,College of Humanities and Social Sciences,2.0,3.9,3.34205,33.3333,9,10,400
1503,Owen Kalinga,College of Humanities and Social Sciences,2.5,3.3,2.567747440273038,0.0,10,50,1172
1504,Mi Kim,College of Humanities and Social Sciences,2.2,4.1,2.8452950310559,13.3333,16,34,1288
1505,Blair Kelley,College of Humanities and Social Sciences,4.3,1.5,3.2819787234042552,0.0,11,22,470
1506,Cheryl Dong,College of Humanities and Social Sciences,1.0,4.0,3.2776363636363635,0.0,1,5,165
1507,Caterina Agostini,College of Humanities and Social Sciences,3.5,4.0,3.0155000000000003,-1.0,1,2,60
1508,Paul Brinkman,College of Humanities and Social Sciences,4.8,2.8,2.7418623481781377,100.0,4,10,247
1509,Garrett McKinnon,College of Humanities and Social Sciences,3.0,3.3,3.5707692307692303,33.3333,3,7,338
1510,Daniel Bolger,College of Humanities and Social Sciences,4.9,2.8,3.4823605947955376,100.0,31,41,1614
1511,Julia Bonham,College of Humanities and Social Sciences,2.2,3.3,2.94693567251462,-1.0,3,21,855
1512,Joe Mobley,College of Humanities and Social Sciences,4.7,1.9,3.292917251051894,-1.0,7,39,1426
1513,Dean Bruno,College of Humanities and Social Sciences,5.0,3.3,2.971166253101737,100.0,20,24,806
1514,Ajamu Dillahunt-Holloway,College of Humanities and Social Sciences,5.0,2.0,3.6385034013605444,100.0,2,3,147
1515,Joanne Woodard,College of Humanities and Social Sciences,3.0,3.0,3.0232394366197184,-1.0,1,11,355
1516,Anne Schiller,College of Humanities and Social Sciences,4.8,2.7,3.7099999999999995,100.0,6,1,41
1517,William Adler,College of Humanities and Social Sciences,4.3,2.8,3.086776649746193,66.6667,10,48,1576
1518,Dustin Heinen,College of Humanities and Social Sciences,2.9,3.9,2.778197381671702,48.1481,57,53,993
